Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
3950,Environmental Health Officer,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3951,Occupational Health and Safety Adviser,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3952,Occupational Health and Safety Adviser,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3953,Occupational Health and Safety Adviser,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3954,Occupational Health and Safety Adviser,Teamwork,6,Intermediate,Initiate team problem solving sessions
3955,Occupational Health and Safety Adviser,Writing,7,Intermediate,Write a detailed literature review
3956,Occupational Health and Safety Adviser,Reading,6,Intermediate,Read a memo from management describing new personnel policies
3957,Occupational Health and Safety Adviser,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3958,Occupational Health and Safety Adviser,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3959,Occupational Health and Safety Adviser,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3960,Occupational Health and Safety Adviser,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3961,Optometrist,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3962,Optometrist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3963,Optometrist,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3964,Optometrist,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
3965,Optometrist,Writing,6,Intermediate,Write a memo to staff outlining new directives
3966,Optometrist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3967,Optometrist,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3968,Optometrist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3969,Optometrist,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3970,Optometrist,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3971,Orthoptist,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
3972,Orthoptist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3973,Orthoptist,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3974,Orthoptist,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3975,Orthoptist,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
3976,Orthoptist,Writing,7,Intermediate,Write a detailed literature review
3977,Orthoptist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3978,Orthoptist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3979,Orthoptist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3980,Orthoptist,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
3981,Hospital Pharmacist,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3982,Hospital Pharmacist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3983,Hospital Pharmacist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3984,Hospital Pharmacist,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
3985,Hospital Pharmacist,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3986,Hospital Pharmacist,Writing,7,Intermediate,Write a detailed literature review
3987,Hospital Pharmacist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3988,Hospital Pharmacist,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3989,Hospital Pharmacist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3990,Hospital Pharmacist,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
3991,Retail Pharmacist,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3992,Retail Pharmacist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3993,Retail Pharmacist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3994,Retail Pharmacist,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
